,Train accuracy,Validation accuracy
0,0.7072244897959183,0.545
1,0.7086122448979592,0.557
2,0.7050408163265306,0.552
3,0.7048571428571428,0.546
4,0.7028163265306122,0.557
5,0.7096530612244898,0.551
6,0.7049591836734694,0.562
7,0.708469387755102,0.555
8,0.709265306122449,0.541
9,0.7074897959183674,0.524
10,0.7082857142857143,0.54
11,0.7056326530612245,0.533
12,0.7027755102040817,0.552
13,0.7043265306122449,0.541
14,0.7107142857142857,0.563
